INFO 2025-11-10 16:28:49,109 autoreload 5620 5536 Watching for file changes with StatReloader
INFO 2025-11-10 17:09:22,568 basehttp 13948 14092 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fcart%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:09:23,136 log 13948 14092 Not Found: /sw.js
WARNING 2025-11-10 17:09:23,137 basehttp 13948 14092 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:09:23,328 basehttp 13948 12772 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:09:30,696 basehttp 13948 11500 "POST /cart/update/14/ HTTP/1.1" 302 0
INFO 2025-11-10 17:09:30,723 basehttp 13948 11500 "GET /cart/ HTTP/1.1" 200 41108
INFO 2025-11-10 17:09:31,160 basehttp 13948 11500 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fcart%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fcart%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:09:31,861 log 13948 11500 Not Found: /sw.js
WARNING 2025-11-10 17:09:31,863 basehttp 13948 11500 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:09:32,012 basehttp 13948 11500 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:09:43,829 basehttp 13948 2016 "GET /checkout/ HTTP/1.1" 200 38911
INFO 2025-11-10 17:09:44,993 basehttp 13948 2016 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fcheckout%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fcart%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:09:45,843 log 13948 2016 Not Found: /sw.js
WARNING 2025-11-10 17:09:45,846 basehttp 13948 2016 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:09:45,960 basehttp 13948 2016 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:10:00,881 basehttp 13948 7852 "GET /track-analytics/?event_type=checkout&url=http%3A%2F%2F127.0.0.1%3A8000%2Fcheckout%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fcart%2F HTTP/1.1" 200 0
INFO 2025-11-10 17:10:02,646 basehttp 13948 6816 "POST /checkout/ HTTP/1.1" 302 0
INFO 2025-11-10 17:10:02,746 basehttp 13948 6816 "GET /payment/19/ HTTP/1.1" 200 44374
INFO 2025-11-10 17:10:04,159 basehttp 13948 6816 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fpayment%2F19%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fcheckout%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:10:24,649 log 13948 12296 Not Found: /sw.js
WARNING 2025-11-10 17:10:24,654 basehttp 13948 14248 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
WARNING 2025-11-10 17:10:24,655 basehttp 13948 12296 "GET /sw.js HTTP/1.1" 404 40258
INFO 2025-11-10 17:10:46,879 basehttp 13948 10304 "GET /track-analytics/?event_type=theme_change&url=http%3A%2F%2F127.0.0.1%3A8000%2Fpayment%2F19%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fcheckout%2F&theme=light HTTP/1.1" 200 0
INFO 2025-11-10 17:10:48,500 basehttp 13948 10304 "GET /notifications/ HTTP/1.1" 200 51278
INFO 2025-11-10 17:10:48,990 basehttp 13948 10304 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fnotifications%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fpayment%2F19%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:10:49,747 log 13948 10304 Not Found: /sw.js
WARNING 2025-11-10 17:10:49,750 basehttp 13948 10304 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:10:49,757 basehttp 13948 12256 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
WARNING 2025-11-10 17:11:02,459 log 13948 6872 Method Not Allowed (GET): /accounts/logout/
WARNING 2025-11-10 17:11:02,464 basehttp 13948 6872 "GET /accounts/logout/ HTTP/1.1" 405 0
INFO 2025-11-10 17:21:46,178 autoreload 10304 3060 Watching for file changes with StatReloader
INFO 2025-11-10 17:21:51,369 basehttp 10304 2012 "GET / HTTP/1.1" 200 83148
INFO 2025-11-10 17:21:53,123 basehttp 10304 2012 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
INFO 2025-11-10 17:21:53,966 basehttp 10304 2012 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
WARNING 2025-11-10 17:21:56,066 log 10304 11856 Not Found: /sw.js
WARNING 2025-11-10 17:21:56,124 basehttp 10304 11856 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:21:56,278 basehttp 10304 10740 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
WARNING 2025-11-10 17:21:56,400 basehttp 10304 11856 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:21:58,658 basehttp 10304 5692 "GET /manager/dashboard/ HTTP/1.1" 302 0
INFO 2025-11-10 17:21:58,709 basehttp 10304 5692 "GET / HTTP/1.1" 200 83148
WARNING 2025-11-10 17:21:59,238 log 10304 12056 Not Found: /sw.js
WARNING 2025-11-10 17:21:59,248 basehttp 10304 12056 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:21:59,358 basehttp 10304 12056 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:21:59,947 basehttp 10304 5692 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
INFO 2025-11-10 17:22:23,681 basehttp 10304 14200 "GET /manager/dashboard/ HTTP/1.1" 302 0
INFO 2025-11-10 17:22:25,788 basehttp 10304 14200 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
WARNING 2025-11-10 17:22:27,515 log 10304 14200 Not Found: /sw.js
WARNING 2025-11-10 17:22:27,534 basehttp 10304 14200 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:22:27,742 basehttp 10304 14200 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:22:44,714 basehttp 10304 10980 "GET /cart/ HTTP/1.1" 200 36550
